,Date,Location,Demographic_Category,census,Not_Vaccinated,Administered_Dose1,Series_Complete_Yes
139,2021-12-30,42,45,15880.0,15880.0,0.0,0.0
140,2021-12-30,25,40,766702.0,281557.0,485145.0,415728.0
141,2021-12-30,45,40,114544.0,33706.0,80838.0,69523.0
142,2021-12-30,43,38,238042.0,9194.0,228848.0,209850.0
143,2021-12-30,19,38,225957.0,11458.0,214499.0,204915.0
144,2021-12-30,26,37,415539.0,83527.0,332012.0,277330.0
145,2021-12-30,49,37,1621553.0,596281.0,1025272.0,861574.0
146,2021-12-30,36,39,287892.0,146592.0,141300.0,115458.0
147,2021-12-30,5,39,153274.0,23756.0,129518.0,116195.0
148,2021-12-30,60,41,198074.0,37186.0,160888.0,147433.0
149,2021-12-30,32,41,269612.0,50585.0,219027.0,199432.0
150,2021-12-30,31,33,22276.0,22276.0,0.0,0.0
151,2021-12-30,10,33,56900.0,56900.0,0.0,0.0
152,2021-12-30,33,43,302688.0,20617.0,282071.0,248693.0
153,2021-12-30,38,43,133550.0,5700.0,127850.0,119088.0
154,2021-12-30,39,44,468075.0,187970.0,280105.0,233716.0
155,2021-12-30,51,44,276781.0,158514.0,118267.0,103741.0
156,2021-12-30,32,26,167091.0,115639.0,51452.0,35230.0
157,2021-12-30,27,26,531833.0,363688.0,168145.0,121208.0
158,2021-12-30,46,42,81205.0,-8964.0,90169.0,74360.0
159,2021-12-30,54,42,384406.0,2768.0,381638.0,341747.0
160,2021-12-30,53,1,46111.0,17741.0,28370.0,23565.0
161,2021-12-30,28,1,520105.0,202420.0,317685.0,281304.0
162,2021-12-30,12,28,342073.0,40451.0,301622.0,244365.0
163,2021-12-30,19,28,498118.0,144168.0,353950.0,309223.0
164,2021-12-30,38,29,,,41.0,16.0
165,2021-12-30,29,29,,,169.0,55.0
166,2021-12-30,42,36,70478.0,15552.0,54926.0,50572.0
167,2021-12-30,8,36,3559549.0,281443.0,3278106.0,2961864.0
168,2021-12-30,9,32,10927.0,10927.0,0.0,0.0
169,2021-12-30,25,32,59634.0,59634.0,0.0,0.0
170,2021-12-30,33,25,272610.0,272610.0,0.0,0.0
171,2021-12-30,8,25,2383716.0,2383716.0,0.0,0.0
172,2021-12-30,31,30,23092.0,23092.0,0.0,0.0
173,2021-12-30,26,30,32466.0,32466.0,0.0,0.0
174,2021-12-30,30,31,470793.0,114869.0,355924.0,296452.0
175,2021-12-30,13,31,3332239.0,1419887.0,1912352.0,1655479.0
176,2021-12-30,48,27,1200211.0,251768.0,948443.0,822599.0
177,2021-12-30,30,27,199926.0,6939.0,192987.0,164380.0
178,2021-12-30,11,35,75206.0,-10263.0,85469.0,76845.0
179,2021-12-30,42,35,61300.0,2855.0,58445.0,53734.0
180,2021-12-30,29,35,802291.0,-59976.0,862267.0,749767.0
181,2021-12-30,1,35,169079.0,-26304.0,195383.0,171846.0
182,2021-12-30,40,27,27742.0,-3646.0,31388.0,29540.0
183,2021-12-30,28,27,2338545.0,550665.0,1787880.0,1680820.0
184,2021-12-30,2,33,297923.0,297923.0,0.0,0.0
185,2021-12-30,58,33,321670.0,321670.0,0.0,0.0
186,2021-12-30,37,40,1000107.0,140827.0,859280.0,768688.0
187,2021-12-30,49,40,829435.0,281473.0,547962.0,461963.0
188,2021-12-30,56,25,294357.0,294357.0,0.0,0.0
189,2021-12-30,43,25,361937.0,361937.0,0.0,0.0
